account,entry_collect,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
backtest,,-8.5475,328.75,466.39,6575.0,1.0,2022-01-07 10:38:25.116,,24.3275,466.44,-6575.0,-1.0,2022-01-07 15:55:00.011,6575.0,328.75,SPY
backtest,,-9.0961,-44850.77,438.24,6997.0,1.0,2022-01-27 10:28:21.854,,25.8889,431.83,-6997.0,-1.0,2022-01-27 13:12:00.013,6997.0,-44850.77,SPY
backtest,,-8.9427,22975.86,445.8,6879.0,1.0,2022-02-04 10:36:18.402,,-8.9427,449.14,-6879.0,-1.0,2022-02-04 13:00:46.049,6879.0,22975.86,SPY
backtest,,-8.4708,-43396.56,470.6,6516.0,1.0,2022-01-13 10:18:17.708,,24.1092,463.94,-6516.0,-1.0,2022-01-13 15:55:00.011,6516.0,-43396.56,SPY
backtest,,-8.9752,22990.32,444.14,6904.0,1.0,2022-01-21 09:43:22.370,,-8.9752,447.47,-6904.0,-1.0,2022-01-21 11:21:24.845,6904.0,22990.32,SPY
backtest,,-8.4695,4886.25,470.65,6515.0,1.0,2022-01-12 10:41:44.667,,24.1055,471.4,-6515.0,-1.0,2022-01-12 15:55:00.017,6515.0,4886.25,SPY
backtest,,-8.3837,12704.53,475.51,6449.0,1.0,2022-01-03 09:47:56.814,,23.8613,477.48,-6449.0,-1.0,2022-01-03 15:55:00.015,6449.0,12704.53,SPY
backtest,,-9.2274,-9227.4,432.01,7098.0,1.0,2022-01-25 09:41:12.695,,26.2626,430.71,-7098.0,-1.0,2022-01-25 09:49:00.048,7098.0,-9227.4,SPY
backtest,,-8.385,-37990.5,475.44,6450.0,1.0,2022-01-05 13:09:41.185,,23.865,469.55,-6450.0,-1.0,2022-01-05 15:55:00.008,6450.0,-37990.5,SPY
backtest,,26.3514,23004.06,430.28,7122.0,1.0,2022-01-28 09:34:00.024,,-9.2586,433.51,-7122.0,-1.0,2022-01-28 11:00:00.453,7122.0,23004.06,SPY
backtest,,-8.8959,-13343.85,448.09,6843.0,1.0,2022-02-07 11:38:31.021,,25.3191,446.14,-6843.0,-1.0,2022-02-07 15:55:00.015,6843.0,-13343.85,SPY
backtest,,-8.7581,-45676.86,455.19,6737.0,1.0,2022-01-20 13:59:47.715,,24.9269,448.41,-6737.0,-1.0,2022-01-20 15:49:00.008,6737.0,-45676.86,SPY
backtest,,25.8112,23020.8,439.59,6976.0,1.0,2022-01-26 10:25:28.590,,-9.0688,442.89,-6976.0,-1.0,2022-01-26 14:00:19.589,6976.0,23020.8,SPY
backtest,,-8.3434,2310.48,477.79,6418.0,1.0,2022-01-04 10:56:12.544,,-8.3434,478.15,-6418.0,-1.0,2022-01-04 15:55:00.084,6418.0,2310.48,SPY
backtest,,-8.7867,22980.6,453.66,6759.0,1.0,2022-02-02 10:35:18.175,,-8.7867,457.06,-6759.0,-1.0,2022-02-02 14:34:50.910,6759.0,22980.6,SPY
backtest,,-9.2573,-44150.2,430.61,7121.0,1.0,2022-01-24 09:44:15.799,,26.3477,424.41,-7121.0,-1.0,2022-01-24 11:47:00.006,7121.0,-44150.2,SPY
backtest,,-8.6658,22997.7,460.03,6666.0,1.0,2022-01-10 09:48:41.035,,-8.6658,463.48,-6666.0,-1.0,2022-01-10 14:34:59.526,6666.0,22997.7,SPY
backtest,,-8.7243,-9730.95,456.92,6711.0,1.0,2022-01-18 11:08:44.035,,24.8307,455.47,-6711.0,-1.0,2022-01-18 15:55:00.011,6711.0,-9730.95,SPY
backtest,,25.271,23017.1,448.98,6830.0,1.0,2022-02-01 09:43:23.985,,-8.879,452.35,-6830.0,-1.0,2022-02-01 15:28:39.783,6830.0,23017.1,SPY
backtest,,-8.6385,22991.7,461.49,6645.0,1.0,2022-01-14 11:08:10.551,,-8.6385,464.95,-6645.0,-1.0,2022-01-14 15:50:04.102,6645.0,22991.7,SPY
backtest,,-8.7165,-31781.7,457.33,6705.0,1.0,2022-01-19 10:18:27.885,,24.8085,452.59,-6705.0,-1.0,2022-01-19 15:55:00.014,6705.0,-31781.7,SPY
backtest,,-8.5254,918.12,467.61,6558.0,1.0,2022-01-06 09:54:50.406,,24.2646,467.75,-6558.0,-1.0,2022-01-06 15:55:00.012,6558.0,918.12,SPY
backtest,,-8.8569,-27524.52,450.09,6813.0,1.0,2022-02-03 12:02:25.216,,25.2081,446.05,-6813.0,-1.0,2022-02-03 15:55:00.007,6813.0,-27524.52,SPY
backtest,,-8.6112,22985.28,462.93,6624.0,1.0,2022-01-11 09:41:50.430,,-8.6112,466.4,-6624.0,-1.0,2022-01-11 11:18:33.582,6624.0,22985.28,SPY
backtest,,-9.0272,-31456.32,441.61,6944.0,1.0,2022-02-17 09:51:59.340,,25.6928,437.08,-6944.0,-1.0,2022-02-17 15:55:00.007,6944.0,-31456.32,SPY
backtest,,25.6188,22987.68,442.88,6924.0,1.0,2022-02-16 09:50:59.718,,-9.0012,446.2,-6924.0,-1.0,2022-02-16 14:24:54.343,6924.0,22987.68,SPY
backtest,,-8.9492,22992.56,445.43,6884.0,1.0,2022-02-08 10:01:34.867,,-8.9492,448.77,-6884.0,-1.0,2022-02-08 11:03:34.560,6884.0,22992.56,SPY
backtest,,-9.2625,12255.0,430.35,7125.0,1.0,2022-03-04 09:46:09.398,,26.3625,432.07,-7125.0,-1.0,2022-03-04 15:55:00.013,7125.0,12255.0,SPY
backtest,,-9.4432,23026.88,422.12,7264.0,1.0,2022-03-10 10:35:07.592,,-9.4432,425.29,-7264.0,-1.0,2022-03-10 14:05:04.909,7264.0,23026.88,SPY
backtest,,26.3107,-47145.93,431.23,7111.0,1.0,2022-02-23 09:54:33.873,,26.3107,424.6,-7111.0,-1.0,2022-02-23 14:25:00.012,7111.0,-47145.93,SPY
