account,entry_collect,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
backtest,,-112.3733,16423.79,347.06,-86441.0,-1.0,2022-01-25 10:48:39.041,,319.8317,346.87,86441.0,1.0,2022-01-25 10:50:00.014,-86441.0,16423.79,QQQ
backtest,,-103.7933,-24750.71,375.75,-79841.0,-1.0,2022-01-18 10:09:35.344,,-103.7933,376.06,79841.0,1.0,2022-01-18 10:11:00.136,-79841.0,-24750.71,QQQ
backtest,,-102.6883,9478.92,379.79,-78991.0,-1.0,2022-01-14 09:55:47.884,,292.2667,379.67,78991.0,1.0,2022-01-14 09:57:00.078,-78991.0,9478.92,QQQ
backtest,,-101.0737,-8552.39,385.86,-77749.0,-1.0,2022-01-06 09:36:35.590,,287.6713,385.97,77749.0,1.0,2022-01-06 09:38:00.015,-77749.0,-8552.39,QQQ
backtest,,-107.8636,21572.72,361.57,-82972.0,-1.0,2022-02-03 10:20:30.106,,306.9964,361.31,82972.0,1.0,2022-02-03 10:22:00.261,-82972.0,21572.72,QQQ
backtest,,-107.1642,29676.24,363.93,-82434.0,-1.0,2022-02-01 11:48:26.587,,305.0058,363.57,82434.0,1.0,2022-02-01 11:50:00.027,-82434.0,29676.24,QQQ
backtest,,-110.2387,12719.85,353.77,-84799.0,-1.0,2022-01-26 10:03:58.540,,313.7563,353.62,84799.0,1.0,2022-01-26 10:05:00.184,-84799.0,12719.85,QQQ
backtest,,-104.2171,-8016.7,374.22,-80167.0,-1.0,2022-01-10 13:23:50.003,,296.6179,374.32,80167.0,1.0,2022-01-10 13:25:00.019,-80167.0,-8016.7,QQQ
backtest,,-114.0893,-14041.76,341.83,-87761.0,-1.0,2022-01-28 10:19:14.217,,324.7157,341.99,87761.0,1.0,2022-01-28 10:21:00.023,-87761.0,-14041.76,QQQ
backtest,,-102.3412,-11021.36,381.07,-78724.0,-1.0,2022-01-11 10:05:12.218,,291.2788,381.21,78724.0,1.0,2022-01-11 10:07:00.130,-78724.0,-11021.36,QQQ
backtest,,-109.4977,-7580.61,356.17,-84229.0,-1.0,2022-01-31 09:53:21.057,,311.6473,356.26,84229.0,1.0,2022-01-31 09:55:00.054,-84229.0,-7580.61,QQQ
backtest,,-113.5511,2620.41,343.46,-87347.0,-1.0,2022-01-24 13:17:07.201,,323.1839,343.43,87347.0,1.0,2022-01-24 13:19:00.019,-87347.0,2620.41,QQQ
backtest,,-108.3849,33349.2,359.83,-83373.0,-1.0,2022-01-21 10:36:57.888,,-108.3849,359.43,83373.0,1.0,2022-01-21 10:38:00.143,-83373.0,33349.2,QQQ
backtest,,-109.6069,16019.47,355.81,-84313.0,-1.0,2022-02-04 09:45:37.331,,-109.6069,355.62,84313.0,1.0,2022-02-04 09:47:01.104,-84313.0,16019.47,QQQ
backtest,,-114.1218,-26335.8,341.74,-87786.0,-1.0,2022-02-22 09:47:44.230,,-114.1218,342.04,87786.0,1.0,2022-02-22 09:49:00.582,-87786.0,-26335.8,QQQ
backtest,,-114.8329,-3533.32,339.62,-88333.0,-1.0,2022-03-04 13:07:11.890,,326.8321,339.66,88333.0,1.0,2022-03-04 13:09:00.014,-88333.0,-3533.32,QQQ
backtest,,-113.0727,-1739.58,344.91,-86979.0,-1.0,2022-03-02 11:05:02.998,,321.8223,344.93,86979.0,1.0,2022-03-02 11:07:00.035,-86979.0,-1739.58,QQQ
backtest,,-113.1429,13054.95,344.7,-87033.0,-1.0,2022-02-18 15:00:40.344,,322.0221,344.55,87033.0,1.0,2022-02-18 15:02:04.615,-87033.0,13054.95,QQQ
backtest,,-112.8426,-19096.44,345.61,-86802.0,-1.0,2022-02-28 10:38:26.006,,321.1674,345.83,86802.0,1.0,2022-02-28 10:40:00.011,-86802.0,-19096.44,QQQ
backtest,,-107.3033,-10730.33,363.45,-82541.0,-1.0,2022-02-10 09:52:33.874,,-107.3033,363.58,82541.0,1.0,2022-02-10 09:54:00.522,-82541.0,-10730.33,QQQ
backtest,,-120.6933,-29709.12,323.13,-92841.0,-1.0,2022-03-15 10:28:06.156,,-120.6933,323.45,92841.0,1.0,2022-03-15 10:30:11.168,-92841.0,-29709.12,QQQ
backtest,,302.8302,1636.92,366.54,-81846.0,-1.0,2022-02-09 15:36:56.053,,302.8302,366.52,81846.0,1.0,2022-02-09 15:38:00.087,-81846.0,1636.92,QQQ
backtest,,340.6886,-12890.92,325.81,-92078.0,-1.0,2022-03-14 10:11:46.435,,340.6886,325.95,92078.0,1.0,2022-03-14 10:13:00.055,-92078.0,-12890.92,QQQ
backtest,,-109.4067,6732.72,356.47,-84159.0,-1.0,2022-02-08 10:53:39.854,,311.3883,356.39,84159.0,1.0,2022-02-08 10:55:00.094,-84159.0,6732.72,QQQ
backtest,,-116.9883,12598.74,333.37,-89991.0,-1.0,2022-03-09 10:58:34.180,,-116.9883,333.23,89991.0,1.0,2022-03-09 11:00:03.323,-89991.0,12598.74,QQQ
backtest,,335.3828,-44415.56,330.96,-90644.0,-1.0,2022-03-10 14:04:22.976,,335.3828,331.45,90644.0,1.0,2022-03-10 14:06:00.065,-90644.0,-44415.56,QQQ
backtest,,-111.4438,14573.42,349.95,-85726.0,-1.0,2022-02-14 11:23:05.838,,317.1862,349.78,85726.0,1.0,2022-02-14 11:25:00.022,-85726.0,14573.42,QQQ
backtest,,-120.8818,-48352.72,322.63,-92986.0,-1.0,2022-02-24 09:36:39.505,,344.0482,323.15,92986.0,1.0,2022-02-24 09:38:00.199,-92986.0,-48352.72,QQQ
backtest,,-109.5146,24430.18,356.12,-84242.0,-1.0,2022-02-15 15:52:15.475,,-109.5146,355.83,84242.0,1.0,2022-02-15 15:54:00.064,-84242.0,24430.18,QQQ
backtest,,-114.1257,24580.92,341.73,-87789.0,-1.0,2022-02-25 10:30:56.602,,324.8193,341.45,87789.0,1.0,2022-02-25 10:32:00.035,-87789.0,24580.92,QQQ
backtest,,-110.0879,-19477.09,354.26,-84683.0,-1.0,2022-02-16 14:21:54.587,,313.3271,354.49,84683.0,1.0,2022-02-16 14:23:00.055,-84683.0,-19477.09,QQQ
backtest,,-119.7833,171382.26,325.59,-92141.0,-1.0,2022-03-08 09:35:59.136,,-119.7833,323.73,92141.0,1.0,2022-03-08 09:37:00.764,-92141.0,171382.26,QQQ
backtest,,-110.0112,-40619.52,354.51,-84624.0,-1.0,2022-04-07 14:59:18.676,,313.1088,354.99,84624.0,1.0,2022-04-07 15:01:00.007,-84624.0,-40619.52,QQQ
backtest,,-109.7616,-16886.4,355.31,-84432.0,-1.0,2022-04-06 14:02:00.901,,312.3984,355.51,84432.0,1.0,2022-04-06 14:04:00.022,-84432.0,-16886.4,QQQ
backtest,,-107.3852,-13216.64,363.18,-82604.0,-1.0,2022-03-28 14:55:46.320,,305.6348,363.34,82604.0,1.0,2022-03-28 14:57:00.065,-82604.0,-13216.64,QQQ
backtest,,-110.6196,-28931.28,352.56,-85092.0,-1.0,2022-04-08 11:01:57.842,,-110.6196,352.9,85092.0,1.0,2022-04-08 11:03:16.668,-85092.0,-28931.28,QQQ
backtest,,-114.5274,-32596.26,340.53,-88098.0,-1.0,2022-04-18 10:24:09.774,,325.9626,340.9,88098.0,1.0,2022-04-18 10:26:04.403,-88098.0,-32596.26,QQQ
backtest,,-116.0224,-42839.04,336.14,-89248.0,-1.0,2022-03-16 10:15:46.277,,330.2176,336.62,89248.0,1.0,2022-03-16 10:17:00.009,-89248.0,-42839.04,QQQ
backtest,,-113.5199,-2619.69,343.55,-87323.0,-1.0,2022-04-13 10:30:43.587,,323.0951,343.58,87323.0,1.0,2022-04-13 10:32:00.481,-87323.0,-2619.69,QQQ
backtest,,-109.7304,-2532.24,355.41,-84408.0,-1.0,2022-03-23 10:16:21.227,,312.3096,355.44,84408.0,1.0,2022-03-23 10:18:00.063,-84408.0,-2532.24,QQQ
backtest,,-111.0408,10249.92,351.22,-85416.0,-1.0,2022-03-21 11:23:50.073,,-111.0408,351.1,85416.0,1.0,2022-03-21 11:25:00.416,-85416.0,10249.92,QQQ
backtest,,-112.3473,7777.89,347.14,-86421.0,-1.0,2022-04-12 09:53:42.168,,319.7577,347.05,86421.0,1.0,2022-04-12 09:55:00.028,-86421.0,7777.89,QQQ
backtest,,-112.9752,-21726.0,345.2,-86904.0,-1.0,2022-03-18 09:59:42.019,,321.5448,345.45,86904.0,1.0,2022-03-18 10:01:00.011,-86904.0,-21726.0,QQQ
backtest,,-109.668,-45554.4,355.62,-84360.0,-1.0,2022-03-24 11:25:37.541,,312.132,356.16,84360.0,1.0,2022-03-24 11:27:00.035,-84360.0,-45554.4,QQQ
backtest,,-114.4949,-16733.87,340.63,-88073.0,-1.0,2022-03-17 09:57:54.998,,325.8701,340.82,88073.0,1.0,2022-03-17 09:59:00.051,-88073.0,-16733.87,QQQ
backtest,,-114.5521,-1762.34,340.46,-88117.0,-1.0,2022-04-19 09:52:33.065,,326.0329,340.48,88117.0,1.0,2022-04-19 09:54:00.037,-88117.0,-1762.34,QQQ
backtest,,-105.1895,20228.75,370.76,-80915.0,-1.0,2022-03-29 14:49:12.212,,299.3855,370.51,80915.0,1.0,2022-03-29 14:51:00.054,-80915.0,20228.75,QQQ
backtest,,-110.1243,29648.85,354.14,-84711.0,-1.0,2022-03-22 10:05:19.030,,313.4307,353.79,84711.0,1.0,2022-03-22 10:07:00.043,-84711.0,29648.85,QQQ
backtest,,-119.7248,77360.64,325.74,-92096.0,-1.0,2022-04-29 09:35:15.962,,340.7552,324.9,92096.0,1.0,2022-04-29 09:37:00.251,-92096.0,77360.64,QQQ
backtest,,-130.1079,-65053.95,299.75,-100083.0,-1.0,2022-05-11 09:44:00.422,,-130.1079,300.4,100083.0,1.0,2022-05-11 09:46:00.867,-100083.0,-65053.95,QQQ
backtest,,-126.0558,23271.84,309.39,-96966.0,-1.0,2022-05-06 10:14:16.433,,-126.0558,309.15,96966.0,1.0,2022-05-06 10:16:00.025,-96966.0,23271.84,QQQ
backtest,,-122.1272,-46972.0,319.34,-93944.0,-1.0,2022-05-03 09:59:30.167,,-122.1272,319.84,93944.0,1.0,2022-05-03 10:01:00.076,-93944.0,-46972.0,QQQ
backtest,,-127.7614,7862.24,305.26,-98278.0,-1.0,2022-05-17 14:08:47.348,,363.6286,305.18,98278.0,1.0,2022-05-17 14:10:00.053,-98278.0,7862.24,QQQ
backtest,,-131.066,44360.8,297.56,-100820.0,-1.0,2022-05-13 09:46:24.388,,-131.066,297.12,100820.0,1.0,2022-05-13 09:48:00.061,-100820.0,44360.8,QQQ
backtest,,-136.1555,1047.35,286.44,-104735.0,-1.0,2022-05-24 12:10:34.658,,-136.1555,286.43,104735.0,1.0,2022-05-24 12:12:01.847,-104735.0,1047.35,QQQ
