account,entry_collect,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
backtest,,-42.7518,-14469.84,456.11,32886.0,1.0,2022-01-18 12:47:13.310,,121.6782,455.67,-32886.0,-1.0,2022-01-18 13:02:00.028,32886.0,-14469.84,SPY
backtest,,-45.3362,-54403.44,430.12,34874.0,1.0,2022-01-28 09:34:16.058,,129.0338,428.56,-34874.0,-1.0,2022-01-28 09:49:00.046,34874.0,-54403.44,SPY
backtest,,116.8608,10422.72,474.92,31584.0,1.0,2022-01-03 09:48:16.672,,116.8608,475.25,-31584.0,-1.0,2022-01-03 10:03:00.023,31584.0,10422.72,SPY
backtest,,-43.563,-8042.4,447.62,33510.0,1.0,2022-02-07 11:39:29.303,,123.987,447.38,-33510.0,-1.0,2022-02-07 11:54:00.008,33510.0,-8042.4,SPY
backtest,,-40.8603,-2200.17,477.22,31431.0,1.0,2022-01-04 11:00:19.466,,-40.8603,477.15,-31431.0,-1.0,2022-01-04 11:15:02.013,31431.0,-2200.17,SPY
backtest,,-43.3706,8006.88,449.61,33362.0,1.0,2022-02-03 12:04:50.827,,123.4394,449.85,-33362.0,-1.0,2022-02-03 12:19:00.027,33362.0,8006.88,SPY
backtest,,-41.5064,-638.56,469.8,31928.0,1.0,2022-01-12 11:06:20.405,,-41.5064,469.78,-31928.0,-1.0,2022-01-12 11:21:12.740,31928.0,-638.56,SPY
backtest,,-45.3362,-36268.96,430.11,34874.0,1.0,2022-01-24 09:45:03.847,,129.0338,429.07,-34874.0,-1.0,2022-01-24 10:00:00.006,34874.0,-36268.96,SPY
backtest,,-42.302,16595.4,460.96,32540.0,1.0,2022-01-14 11:15:13.285,,-42.302,461.47,-32540.0,-1.0,2022-01-14 11:30:00.048,32540.0,16595.4,SPY
backtest,,-42.1772,7462.12,462.33,32444.0,1.0,2022-01-11 09:43:47.961,,-42.1772,462.56,-32444.0,-1.0,2022-01-11 09:58:00.292,32444.0,7462.12,SPY
backtest,,-44.4106,-11615.08,439.07,34162.0,1.0,2022-01-26 10:28:35.049,,-44.4106,438.73,-34162.0,-1.0,2022-01-26 10:43:00.211,34162.0,-11615.08,SPY
backtest,,-43.0404,40391.76,453.06,33108.0,1.0,2022-02-02 11:15:57.792,,122.4996,454.28,-33108.0,-1.0,2022-02-02 11:30:00.030,33108.0,40391.76,SPY
backtest,,119.1696,-21257.28,465.71,32208.0,1.0,2022-01-07 10:49:15.391,,-41.8704,465.05,-32208.0,-1.0,2022-01-07 11:04:00.020,32208.0,-21257.28,SPY
backtest,,-43.5266,16071.36,448.0,33482.0,1.0,2022-02-01 10:02:19.331,,123.8834,448.48,-33482.0,-1.0,2022-02-01 10:17:00.153,33482.0,16071.36,SPY
backtest,,-45.2023,-23296.57,431.38,34771.0,1.0,2022-01-25 09:45:27.613,,128.6527,430.71,-34771.0,-1.0,2022-01-25 09:49:00.048,34771.0,-23296.57,SPY
backtest,,-41.522,8304.4,469.63,31940.0,1.0,2022-01-13 10:50:41.101,,118.178,469.89,-31940.0,-1.0,2022-01-13 11:05:00.009,31940.0,8304.4,SPY
backtest,,-42.8857,-11216.26,454.69,32989.0,1.0,2022-01-20 14:15:47.546,,122.0593,454.35,-32989.0,-1.0,2022-01-20 14:30:00.107,32989.0,-11216.26,SPY
backtest,,-42.4736,-38879.68,459.11,32672.0,1.0,2022-01-10 09:58:30.842,,120.8864,457.92,-32672.0,-1.0,2022-01-10 10:13:00.006,32672.0,-38879.68,SPY
