account,entry_collect,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
backtest,,119.1696,-21257.28,465.71,32208.0,1.0,2022-01-07 10:49:15.391,,-41.8704,465.05,-32208.0,-1.0,2022-01-07 11:04:00.020,32208.0,-21257.28,SPY
backtest,,-42.302,16595.4,460.96,32540.0,1.0,2022-01-14 11:15:13.285,,-42.302,461.47,-32540.0,-1.0,2022-01-14 11:30:00.048,32540.0,16595.4,SPY
backtest,,-43.0404,40391.76,453.06,33108.0,1.0,2022-02-02 11:15:57.792,,122.4996,454.28,-33108.0,-1.0,2022-02-02 11:30:00.030,33108.0,40391.76,SPY
backtest,,-50.6116,8954.36,462.33,38932.0,1.0,2022-01-11 09:43:47.961,,-50.6116,462.56,-38932.0,-1.0,2022-01-11 09:58:00.292,38932.0,8954.36,SPY
backtest,,-30.2237,-36268.44,430.12,23249.0,1.0,2022-01-28 09:34:16.058,,86.0213,428.56,-23249.0,-1.0,2022-01-28 09:49:00.046,23249.0,-36268.44,SPY
backtest,,83.0835,-13473.0,445.32,22455.0,1.0,2022-02-04 10:37:49.977,,83.0835,444.72,-22455.0,-1.0,2022-02-04 10:52:00.456,22455.0,-13473.0,SPY
backtest,,70.115,6253.5,474.92,18950.0,1.0,2022-01-03 09:48:16.672,,70.115,475.25,-18950.0,-1.0,2022-01-03 10:03:00.023,18950.0,6253.5,SPY
backtest,,-29.6946,-2512.62,437.78,22842.0,1.0,2022-01-27 10:29:49.832,,-29.6946,437.67,-22842.0,-1.0,2022-01-27 10:44:03.157,22842.0,-2512.62,SPY
backtest,,-65.3445,-12063.6,447.62,50265.0,1.0,2022-02-07 11:39:29.303,,185.9805,447.38,-50265.0,-1.0,2022-02-07 11:54:00.008,50265.0,-12063.6,SPY
backtest,,-29.0212,12947.92,447.94,22324.0,1.0,2022-02-11 11:16:21.026,,82.5988,448.52,-22324.0,-1.0,2022-02-11 11:31:00.052,22324.0,12947.92,SPY
backtest,,-7.4178,4907.16,438.07,5706.0,1.0,2022-02-14 10:15:58.647,,-7.4178,438.93,-5706.0,-1.0,2022-02-14 10:30:00.035,5706.0,4907.16,SPY
backtest,,-7.1474,-1869.32,454.69,5498.0,1.0,2022-01-20 14:15:47.546,,20.3426,454.35,-5498.0,-1.0,2022-01-20 14:30:00.107,5498.0,-1869.32,SPY
backtest,,-40.8603,-2200.17,477.22,31431.0,1.0,2022-01-04 11:00:19.466,,-40.8603,477.15,-31431.0,-1.0,2022-01-04 11:15:02.013,31431.0,-2200.17,SPY
backtest,,-6.8458,-6424.52,474.73,5266.0,1.0,2022-01-05 14:05:46.727,,-6.8458,473.51,-5266.0,-1.0,2022-01-05 14:20:00.015,5266.0,-6424.52,SPY
backtest,,-29.6075,-7743.5,439.07,22775.0,1.0,2022-01-26 10:28:35.049,,-29.6075,438.73,-22775.0,-1.0,2022-01-26 10:43:00.211,22775.0,-7743.5,SPY
backtest,,-42.6933,-26929.62,456.74,32841.0,1.0,2022-01-19 10:25:26.555,,-42.6933,455.92,-32841.0,-1.0,2022-01-19 10:40:00.044,32841.0,-26929.62,SPY
backtest,,-41.5064,-638.56,469.8,31928.0,1.0,2022-01-12 11:06:20.405,,-41.5064,469.78,-31928.0,-1.0,2022-01-12 11:21:12.740,31928.0,-638.56,SPY
backtest,,-50.1098,-48182.5,466.97,38546.0,1.0,2022-01-06 09:58:21.731,,142.6202,465.72,-38546.0,-1.0,2022-01-06 10:13:00.015,38546.0,-48182.5,SPY
backtest,,-35.1676,1352.6,443.58,27052.0,1.0,2022-01-21 09:45:07.918,,100.0924,443.63,-27052.0,-1.0,2022-01-21 10:00:00.013,27052.0,1352.6,SPY
backtest,,-6.9199,1383.98,469.63,5323.0,1.0,2022-01-13 10:50:41.101,,19.6951,469.89,-5323.0,-1.0,2022-01-13 11:05:00.009,5323.0,1383.98,SPY
backtest,,-50.9678,-46655.14,459.11,39206.0,1.0,2022-01-10 09:58:30.842,,145.0622,457.92,-39206.0,-1.0,2022-01-10 10:13:00.006,39206.0,-46655.14,SPY
backtest,,-43.381,-7341.4,449.51,33370.0,1.0,2022-03-25 11:24:43.091,,123.469,449.29,-33370.0,-1.0,2022-03-25 11:39:00.071,33370.0,-7341.4,SPY
backtest,,-43.797,5727.3,445.22,33690.0,1.0,2022-03-23 13:25:52.508,,-43.797,445.39,-33690.0,-1.0,2022-03-23 13:40:00.201,33690.0,5727.3,SPY
backtest,,-44.5133,-18490.14,438.07,34241.0,1.0,2022-03-03 10:16:47.135,,-44.5133,437.53,-34241.0,-1.0,2022-03-03 10:31:00.116,34241.0,-18490.14,SPY
backtest,,-45.2088,9041.76,431.32,34776.0,1.0,2022-02-22 11:14:04.500,,-45.2088,431.58,-34776.0,-1.0,2022-02-22 11:29:00.056,34776.0,9041.76,SPY
backtest,,-54.4661,67454.17,429.62,41897.0,1.0,2022-03-04 09:49:48.815,,155.0189,431.23,-41897.0,-1.0,2022-03-04 10:04:00.008,41897.0,67454.17,SPY
backtest,,-45.266,-15669.0,430.78,34820.0,1.0,2022-03-16 13:08:04.247,,-45.266,430.33,-34820.0,-1.0,2022-03-16 13:23:00.382,34820.0,-15669.0,SPY
backtest,,-53.0478,8161.2,441.11,40806.0,1.0,2022-02-17 09:52:19.425,,-53.0478,441.31,-40806.0,-1.0,2022-02-17 10:07:00.519,40806.0,8161.2,SPY
backtest,,-27.9864,14208.48,418.05,21528.0,1.0,2022-03-08 09:40:29.775,,79.6536,418.71,-21528.0,-1.0,2022-03-08 09:55:00.006,21528.0,14208.48,SPY
