regime,regime_type,n_trades,win_rate,avg_pnl,median_pnl,total_pnl,std_pnl,best_trade,worst_trade,sharpe_per_trade
afternoon | VIX 30+,Time of Day x VIX,1,100.0,1.499999999999999,1.499999999999999,1.499999999999999,,1.499999999999999,1.499999999999999,0.0
afternoon | VIX nan,Time of Day x VIX,1,100.0,1.499999999999997,1.499999999999997,1.499999999999997,,1.499999999999997,1.499999999999997,0.0
midday | VIX nan,Time of Day x VIX,2,100.0,0.9981467128373724,0.9981467128373724,1.9962934256747449,0.7097277250269002,1.499999999999995,0.49629342567474993,1.4063797673953635
midday | VIX 20-25,Time of Day x VIX,1,100.0,0.7071364758256345,0.7071364758256345,0.7071364758256345,,0.7071364758256345,0.7071364758256345,0.0
late_morning | VIX 15-20,Time of Day x VIX,2,50.0,0.4935356460342292,0.4935356460342292,0.9870712920684585,1.0515181947294359,1.23707129206845,-0.24999999999999145,0.4693553078853
power_hour | VIX nan,Time of Day x VIX,4,25.0,0.24793757639425915,-0.1291248472114807,0.9917503055770366,0.8406096316540833,1.4999999999999891,-0.24999999999999115,0.29494972108086337
afternoon | VIX 15-20,Time of Day x VIX,3,66.66666666666666,0.15847856370904204,0.01500225033755594,0.47543569112712614,0.49603143843987185,0.7104334407895707,-0.25000000000000056,0.31949298255669445
midday | VIX 15-20,Time of Day x VIX,4,25.0,-0.019217431299821952,-0.2499999999999913,-0.07686972519928781,0.461565137400342,0.6731302748006911,-0.24999999999999628,-0.04163536138812314
late_morning | VIX 20-25,Time of Day x VIX,1,0.0,-0.2499999999999878,-0.2499999999999878,-0.2499999999999878,,-0.2499999999999878,-0.2499999999999878,0.0
power_hour | VIX 15-20,Time of Day x VIX,3,0.0,-0.24999999999999176,-0.24999999999999067,-0.7499999999999752,3.0698469675010876e-15,-0.24999999999998934,-0.2499999999999952,-81437284218599.47
afternoon | VIX <15,Time of Day x VIX,4,0.0,-0.24999999999999223,-0.2499999999999918,-0.9999999999999689,2.369704229754143e-15,-0.24999999999998987,-0.24999999999999542,-105498398011438.64
midday | VIX 30+,Time of Day x VIX,1,0.0,-0.24999999999999944,-0.24999999999999944,-0.24999999999999944,,-0.24999999999999944,-0.24999999999999944,0.0
