n_trades,win_rate,avg_pnl,median_pnl,total_pnl,expectancy,profit_factor,max_drawdown_pct,avg_winner,avg_loser,best_trade,worst_trade,avg_minutes_held,avg_max_favorable,avg_max_adverse,exit_reasons,entry_mult,add_mult,stop_loss,target,time_exit,direction,pct_scaled_in
197,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 197},0.5,0.8,0.25,0.25,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,0.5,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,1.5,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,1.5,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,2.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,2.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,2.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,3.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,3.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,3.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,0.25,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,0.25,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,0.25,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,0.5,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,0.5,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,0.75,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,1.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,0.75,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,0.75,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,1.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,1.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,1.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,1.5,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,1.5,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,1.5,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,2.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,2.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,2.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,3.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,3.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,1.5,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,1.0,60,below,0.0
197,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 197},0.5,0.8,0.25,0.25,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,2.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,0.25,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,0.5,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,0.5,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,0.5,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,0.75,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,0.75,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,0.75,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,1.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,1.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,1.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,1.5,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,1.5,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,1.5,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,2.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,1.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,2.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,3.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,3.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.25,3.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,0.25,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,0.25,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,0.25,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,0.5,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,0.5,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,0.5,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,0.75,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,0.75,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.5,0.75,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,0.75,3.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.0,0.25,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.0,0.25,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,0.5,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.5,1.5,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.5,1.5,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.5,2.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.5,2.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.5,2.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.5,3.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.5,3.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.5,3.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,0.25,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,0.25,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,0.25,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,0.5,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,0.5,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,0.75,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,1.0,0.25,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,0.75,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,0.75,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,1.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,1.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,1.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,1.5,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,1.5,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,1.5,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,2.0,30,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,2.0,60,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,2.0,EOD,below,0.0
11,0.0,0.0,0.0,0,0.0,inf,0,0,0,0,0,0.0,0.0,0.0,{'no_bars': 11},1.1,1.3,2.0,3.0,30,below,0.0
