ticker,direction,atr_mult,n_signals,n_traded,best_exp,best_wr,best_pf,best_sharpe,best_stop,best_target,best_time
SPY,above,0.5,127,127,0.015359408538521606,55.118110236220474,1.091094644404187,0.5451453705447916,1.0,0.5,EOD
SPY,above,0.6,71,71,-0.011066847896109379,46.478873239436616,0.946765421749785,-0.33249679407726507,0.75,1.0,EOD
SPY,above,0.7,41,41,0.08174250465522766,48.78048780487805,1.3321839002263614,1.793014932705461,0.75,1.5,EOD
SPY,above,0.8,26,26,0.0452052261566919,42.30769230769231,1.169324707109531,1.017502849235481,0.5,1.5,EOD
SPY,above,0.9,20,20,0.08116299346245312,25.0,1.4493018906914088,2.0676808847910175,0.25,2.0,EOD
SPY,above,1.0,13,13,0.13944822004188356,69.23076923076923,2.0741862383869885,4.407166279736785,1.0,0.75,15
SPY,below,0.5,197,197,0.07818113256394262,60.913705583756354,1.393729017014862,2.052899826791879,2.0,0.75,EOD
SPY,below,0.6,113,113,0.05550252298120527,60.17699115044248,1.2997685139876047,1.8489747525420732,0.75,0.5,EOD
SPY,below,0.7,75,75,0.058380341079177826,53.333333333333336,1.2625744727721453,1.4942831542929462,0.75,1.5,EOD
SPY,below,0.8,50,50,0.1417008336264815,46.0,1.7722841611575828,3.376505500799432,0.5,2.0,EOD
SPY,below,0.9,27,27,0.2159562024101399,37.03703703703704,2.4547041500899693,5.149532617431263,0.25,1.5,EOD
SPY,below,1.0,15,15,0.08397770710919301,60.0,2.469432568674644,5.384584998945955,0.75,0.5,15
QQQ,above,0.5,125,125,0.071439111775211,48.0,1.3506258601971517,1.8470265115343856,1.0,1.0,EOD
QQQ,above,0.6,64,64,0.014795730514157,51.5625,1.0581671637585737,0.3307349315594541,1.0,1.5,EOD
QQQ,above,0.7,36,36,0.1582917860122952,47.22222222222222,1.750790345040582,3.359518922756345,0.5,2.0,EOD
QQQ,above,0.8,20,20,0.0665095481007832,20.0,1.3396543123851998,1.5185369240227518,0.25,2.0,EOD
QQQ,above,0.9,15,15,0.1671271071814698,40.0,2.1141807145431564,3.937252153759848,0.25,2.0,EOD
QQQ,above,1.0,8,8,0.0561106098440442,50.0,1.317927441594281,1.7964239676435914,0.75,0.75,15
QQQ,below,0.5,190,190,0.0763049987946769,33.68421052631579,1.485126478325215,2.1473276262265486,0.25,2.0,EOD
QQQ,below,0.6,108,108,0.0968172726876462,66.66666666666666,2.455438079652744,5.314004678878206,1.0,0.75,15
QQQ,below,0.7,63,63,0.1618264805761964,47.61904761904761,1.7502700388078716,3.440715579417409,0.5,2.0,EOD
QQQ,below,0.8,37,37,0.0486043943920884,27.027027027027028,1.2918590202184088,1.4099542654487762,0.25,2.0,EOD
QQQ,below,0.9,20,20,0.0911484878755311,25.0,1.4861252686695088,1.9524418623775608,0.25,3.0,60
QQQ,below,1.0,13,13,0.0697038584418747,61.53846153846154,1.8284045271996885,4.783378365340993,0.25,0.25,60
